calaccess_committee_id,committee_name,prop_count
1220380,"COMMUNITY COLLEGE FACILITY COALITION ISSUES COMMITTEE, YES ON 51",1
1282321,"TORLAKSON'S INVEST IN CALIFORNIA A BALLOT MEASURE COMMITTEE TO SUPPORT PROPOSITION 51, SUPERINTENDENT TOM",1
1302403,"CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION TRUTH IN AMERICAN GOVERNMENT FUND; NO ON PROPOSITION 62, YES ON PROPOSITION 66 (NON-PROFIT 501 (C) 5)",2
1317554,"SAN FRANCISCO POLICE OFFICERS ASSOCIATION ISSUES PAC - YES ON 66, NO ON 62",2
1329332,"SAVE THE BAG BAN, YES ON 67, SPONSORED BY ENVIRONMENT CALIFORNIA",1
1336580,"LOS ANGELES POLICE PROTECTIVE LEAGUE ISSUES PAC - YES ON 66, NO ON 57",2
1343793,"CALIFORNIANS FOR RESPONSIBLE MARIJUANA REFORM, SPONSORED BY DRUG POLICY ACTION, YES ON PROP. 64",1
1346266,"CALIFORNIANS TO MEND, NOT END, THE DEATH PENALTY. NO ON PROP 62, YES ON PROP 66. SUPPORTED BY PROSECUTORS, LAW ENFORCEMENT, AND FAMILIES OF VICTIMS.",2
1346267,CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION ISSUES COMMITTEE (NON-PROFIT 501 (C) 5): YES ON PROPOSITION 57,1
1346973,CALIFORNIA GROCERS ASSOCIATION ISSUES COMMITTEE (NON-PROFIT 501(C) 6): YES ON PROPOSITION 67,1
1356566,"YES ON PROP 60, FOR ADULT INDUSTRY RESPONSIBILITY (FAIR) COMMITTEE, WITH MAJOR FUNDING BY AIDS HEALTHCARE FOUNDATION",1
1360075,CALIFORNIA MOVE TO AMEND,1
1362973,YES ON PROPOSITION 52 - A COALITION OF CALIFORNIA ASSOCIATION OF HOSPITALS AND HEALTH SYSTEMS AND NON-PROFIT HEALTH CARE ORGANIZATIONS,1
1371855,"MARIJUANA POLICY PROJECT OF CALIFORNIA, YES ON 64",1
1372760,"PICO CALIFORNIA - YES ON 55, 56, AND 57 (NON PROFIT 501 (C) (3))",3
1372900,"YES ON 67 - PROTECT THE PLASTIC BAG BAN, SPONSORED BY ENVIRONMENTAL AND OCEAN PROTECTION ORGANIZATIONS, BUSINESSES INCLUDING GROCERS AND REUSABLE BAG MAKERS, AND OTHER NONPROFIT ORGANIZATIONS",1
1372902,"AMERICAN PROGRESSIVE BAG ALLIANCE, A PROJECT OF THE SOCIETY OF THE PLASTICS INDUSTRY (NON-PROFIT 501 (C) (6)), YES ON 65 AND NO ON 67",2
1373047,"SERVICE EMPLOYEES INTERNATIONAL UNION, UNITED HEALTHCARE WORKERS WEST (NONPROFIT 501 (C)(5))",1
1374153,"LARA BALLOT MEASURE COMMITTEE; CALIFORNIANS FOR A 21ST CENTURY ECONOMY - YES ON 58, A RICARDO",1
1374469,"YES ON PROPOSITION 51 - CALIFORNIANS FOR QUALITY SCHOOLS, SPONSORED AND FUNDED BY COALITION FOR ADEQUATE SCHOOL HOUSING ISSUES COMMITTEE AND CALIFORNIA BUILDING INDUSTRY ASSOCIATION ISSUES COMMITTEE",1
1374885,YES ON 67 - CALIFORNIANS AGAINST WASTE - PROTECT THE PLASTIC BAN (NON-PROFIT 501 (C) (4)),1
1376040,YES ON 53 - STOP BLANK CHECKS,1
1376077,"CALIFORNIANS FOR SENSIBLE REFORM, SPONSORED BY GHOST MANAGEMENT GROUP, LLC DBA WEEDMAPS",1
1376791,"YES ON PROP 61, CALIFORNIANS FOR LOWER DRUG PRICES, WITH MAJOR FUNDING BY AIDS HEALTHCARE FOUNDATION AND CALIFORNIA NURSES ASSOCIATION PAC",1
