election_name,election_date,election_id,ocd_prop_id,calaccess_prop_id,ccdc_prop_id,prop_name,ccdc_committee_id,calaccess_committee_id,committee_name,committee_position
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/ae6d712e-8136-44be-848b-450ae39ccf7a,1007678,1,"PROP 12 - 2000 AB 18 (CHAPTER 461, 1999). VILLARAIGOSA. BOND: PARKS, WATER, COASTAL PROTECTION ACT.",1,970866,"NATURE CONSERVANCY ACTION FUND OF CALIFORNIA, THE",SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/ae6d712e-8136-44be-848b-450ae39ccf7a,1007678,1,"PROP 12 - 2000 AB 18 (CHAPTER 461, 1999). VILLARAIGOSA. BOND: PARKS, WATER, COASTAL PROTECTION ACT.",2,991829,"CALIFORNIANS FOR SAFE NEIGHBORHOOD PARKS & CLEAN WATER - YES ON PROPOSITIONS 12 & 13 SPONSORED BY CLEAN AIR, CLEAN WATER AND CONSERVATION GROUPS",SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/ae6d712e-8136-44be-848b-450ae39ccf7a,1007678,1,"PROP 12 - 2000 AB 18 (CHAPTER 461, 1999). VILLARAIGOSA. BOND: PARKS, WATER, COASTAL PROTECTION ACT.",3,991921,"YES ON 12 AND 13, A PROJECT OF THE PLANNING AND CONSERVATION LEAGUE",SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/ae6d712e-8136-44be-848b-450ae39ccf7a,1007678,1,"PROP 12 - 2000 AB 18 (CHAPTER 461, 1999). VILLARAIGOSA. BOND: PARKS, WATER, COASTAL PROTECTION ACT.",4,992051,CALIFORNIANS FOR SAFE PARKS-YES ON PROPOSITION 12,SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/ae6d712e-8136-44be-848b-450ae39ccf7a,1007678,1,"PROP 12 - 2000 AB 18 (CHAPTER 461, 1999). VILLARAIGOSA. BOND: PARKS, WATER, COASTAL PROTECTION ACT.",5,992422,"SIERRA CLUB CALIFORNIA, YES ON PROPOSITION 12 COMMITTEE",SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/ae6d712e-8136-44be-848b-450ae39ccf7a,1007678,1,"PROP 12 - 2000 AB 18 (CHAPTER 461, 1999). VILLARAIGOSA. BOND: PARKS, WATER, COASTAL PROTECTION ACT.",6,1221840,NEVADA COUNTY SUPPORTS PROP 12 COMMITTEE,SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/ae6d712e-8136-44be-848b-450ae39ccf7a,1007678,1,"PROP 12 - 2000 AB 18 (CHAPTER 461, 1999). VILLARAIGOSA. BOND: PARKS, WATER, COASTAL PROTECTION ACT.",7,992200,"CALIFORNIANS FOR SAFE PARKS, A COMMITTEE FOR PROPOSITION 12",SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/81ab5b3d-4f0f-4c17-a3f8-154976b69c2c,1007679,2,"PROP 13 - 2000 AB 1584 (CHAPTER 725, 1999). MACHADO. SAFE DRINKING WATER, CLEAN WATER, WATERSHED PROTECTION, AND FLOOD PROTEC",8,991921,"YES ON 12 AND 13, A PROJECT OF THE PLANNING AND CONSERVATION LEAGUE",SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/81ab5b3d-4f0f-4c17-a3f8-154976b69c2c,1007679,2,"PROP 13 - 2000 AB 1584 (CHAPTER 725, 1999). MACHADO. SAFE DRINKING WATER, CLEAN WATER, WATERSHED PROTECTION, AND FLOOD PROTEC",9,970866,"NATURE CONSERVANCY ACTION FUND OF CALIFORNIA, THE",SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/81ab5b3d-4f0f-4c17-a3f8-154976b69c2c,1007679,2,"PROP 13 - 2000 AB 1584 (CHAPTER 725, 1999). MACHADO. SAFE DRINKING WATER, CLEAN WATER, WATERSHED PROTECTION, AND FLOOD PROTEC",10,1221999,"NORTHERN CALIFORNIA WATER ASSOCIATION, A COMMITTEE SUPPORTING PROPOSITION 13",SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/81ab5b3d-4f0f-4c17-a3f8-154976b69c2c,1007679,2,"PROP 13 - 2000 AB 1584 (CHAPTER 725, 1999). MACHADO. SAFE DRINKING WATER, CLEAN WATER, WATERSHED PROTECTION, AND FLOOD PROTEC",11,991829,"CALIFORNIANS FOR SAFE NEIGHBORHOOD PARKS & CLEAN WATER - YES ON PROPOSITIONS 12 & 13 SPONSORED BY CLEAN AIR, CLEAN WATER AND CONSERVATION GROUPS",SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/81ab5b3d-4f0f-4c17-a3f8-154976b69c2c,1007679,2,"PROP 13 - 2000 AB 1584 (CHAPTER 725, 1999). MACHADO. SAFE DRINKING WATER, CLEAN WATER, WATERSHED PROTECTION, AND FLOOD PROTEC",12,991968,"CALIFORNIANS FOR CLEAN, SAFE, RELIABLE WATER YES ON PROPOSITIONS 12/13",SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/efd74f8d-f31c-442a-a943-24c58a0855c8,1007680,3,"PROP 14 - 2000 SB 3 (CHAPTER 726, 1999). RAINEY. CALIFORNIA READING AND LITERACY IMPROVEMENT AND PUBLIC LIBRARY CONSTRUCTION",13,991910,CALIFORNIANS FOR LITERACY AND COMMUNITY LIBRARIES - A COMMITTEE IN SUPPORT OF PROPOSITION 14,SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/bd63d155-f275-438b-aef7-b8d85b713e92,1007681,4,"PROP 15 - 2000 AB 1391 (CHAPTER 727, 1999). HERTZBERG. FORENSIC LABORATORIES.",14,992071,COMMITTEE TO REPAIR AND UPGRADE CRIME FIGHTING FORENSIC LABS - YES ON PROP. 15,SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/eb91a569-bacc-4a57-9739-4da0d2ec2e67,1007682,5,"PROP 16 - 2000 SB 630 (CHAPTER 728, 1999). DUNN. VETERANS' HOMES.",15,991920,FRIENDS OF CALIFORNIA VETERANS - YES ON PROPOSITION 16,SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/86e05d6f-3f36-44f1-a99a-319b9bde69fb,1007677,9,"PROP 1A - 2000.  SCA 11 (RESOLUTION CHAPTER 142, 1999). BURTON. GAMBLING.",16,991685,"CALIFORNIANS FOR YES ON PROPOSITION 1A, FOR INDIAN SELF-RELIANCE",SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/86e05d6f-3f36-44f1-a99a-319b9bde69fb,1007677,9,"PROP 1A - 2000.  SCA 11 (RESOLUTION CHAPTER 142, 1999). BURTON. GAMBLING.",17,992094,"YES ON 1A, CALIFORNIANS  FOR  INDIAN  SELF-RELIANCE SPONSORED BY CALIFORNIA INDIAN TRIBES",SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/86e05d6f-3f36-44f1-a99a-319b9bde69fb,1007677,9,"PROP 1A - 2000.  SCA 11 (RESOLUTION CHAPTER 142, 1999). BURTON. GAMBLING.",18,991680,CALIFORNIANS FOR YES ON 1A,SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/86e05d6f-3f36-44f1-a99a-319b9bde69fb,1007677,9,"PROP 1A - 2000.  SCA 11 (RESOLUTION CHAPTER 142, 1999). BURTON. GAMBLING.",19,991681,CITIZENS FOR PROPOSITION 1A,SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/86e05d6f-3f36-44f1-a99a-319b9bde69fb,1007677,9,"PROP 1A - 2000.  SCA 11 (RESOLUTION CHAPTER 142, 1999). BURTON. GAMBLING.",20,991682,CALIFORNIA TRIBES FOR PROPOSITION 1A,SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/86e05d6f-3f36-44f1-a99a-319b9bde69fb,1007677,9,"PROP 1A - 2000.  SCA 11 (RESOLUTION CHAPTER 142, 1999). BURTON. GAMBLING.",21,991683,CALIFORNIA TRIBES FOR YES ON 1A,SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/86e05d6f-3f36-44f1-a99a-319b9bde69fb,1007677,9,"PROP 1A - 2000.  SCA 11 (RESOLUTION CHAPTER 142, 1999). BURTON. GAMBLING.",22,991684,CALIFORNIANS FOR INDIAN SELF-RELIANCE FOR PROPOSITION 1A,SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/86e05d6f-3f36-44f1-a99a-319b9bde69fb,1007677,9,"PROP 1A - 2000.  SCA 11 (RESOLUTION CHAPTER 142, 1999). BURTON. GAMBLING.",23,991686,"CALIFORNIANS FOR INDIAN SELF-RELIANCE, THE YES ON 1A COMMITTEE",SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/86e05d6f-3f36-44f1-a99a-319b9bde69fb,1007677,9,"PROP 1A - 2000.  SCA 11 (RESOLUTION CHAPTER 142, 1999). BURTON. GAMBLING.",24,991690,UNITED TRIBES FOR PROPOSITION 1A,SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/86e05d6f-3f36-44f1-a99a-319b9bde69fb,1007677,9,"PROP 1A - 2000.  SCA 11 (RESOLUTION CHAPTER 142, 1999). BURTON. GAMBLING.",25,991691,NATIVE AMERICANS FOR PROPOSITION 1A,SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/86e05d6f-3f36-44f1-a99a-319b9bde69fb,1007677,9,"PROP 1A - 2000.  SCA 11 (RESOLUTION CHAPTER 142, 1999). BURTON. GAMBLING.",26,991692,COMMITTEE OF CALIFORNIA CITIZENS WHO ASK YOU TO VOTE YES ON 1A,SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/86e05d6f-3f36-44f1-a99a-319b9bde69fb,1007677,9,"PROP 1A - 2000.  SCA 11 (RESOLUTION CHAPTER 142, 1999). BURTON. GAMBLING.",27,991693,YES ON 1A,SUPPORT
