calaccess_committee_id,committee_name,prop_count
1219956,CONCERNED CITIZENS AGAINST PROPOSITION 22,1
1220380,COMMUNITY COLLEGE FACILITY COALITION ISSUES COMMITTEE,1
1220380,"COMMUNITY COLLEGE FACILITY COALITION ISSUES COMMITTEE, YES ON 51",1
1220380,"COMMUNITY COLLEGE FACILITY COALITION ISSUES COMMITTEE, YES ON 55",1
1220380,COMMUNITY COLLEGE FACILITY COALITION ISSUES COMMITTEE/YES ON 1D,1
1220428,"CITIZENS AGAINST VIOLENT CRIME, YES ON 66, MAJOR FUNDING BY WATCHDOG OVER LEGISLATION FOUNDATION COMMITTEE AND BUSINESS OWNER JERRY KEENAN.",1
1220582,SCHOOL BOOKS FOR THE CHILDREN,1
1220851,"BUSINESS LEADERS AGAINST PREJUDICE, A COMMITTEE AGAINST PROPOSITION 22",1
1220887,"SAN FRANCISCO FOUNDATION COMMUNITY INITIATIVE FUNDS ANTI-DISCRIMINATION EDUCATION COMMITTEE AGAINST PROPOSITION 22, THE",1
1221066,"AMERICA NEEDS FATIMA COMMITTEE IN FAVOR OF PROPOSITION 22, SPONSORED BY THE FOUNDATION FOR A CHRISTIAN CIVILIZATION, INC.",1
1221840,NEVADA COUNTY SUPPORTS PROP 12 COMMITTEE,1
1221889,"NATIONAL GAY AND LESBIAN TASK FORCE, INC.",1
1221968,CALIFORNIANS FOR COMMUNITY SAFETY- COMMITTEE AGAINST PROPOSITION 21,1
1221999,"NORTHERN CALIFORNIA WATER ASSOCIATION, A COMMITTEE SUPPORTING PROPOSITION 13",1
1222562,"TAXPAYERS FOR ACCOUNTABILITY AND BETTER SCHOOLS (TABS), YES ON PROPOSITION 39, A COALITION OF TEACHERS, PARENTS, SENIORS, TAXPAYERS AND BUSINESS",1
1223780,"CALIFORNIANS UNITED AGAINST DRUG ABUSE SPONSORED BY: LAW ENFORCEMNET, DRUG TREATMENT PROFESSIONALS, HEALTHCARE, CRIME VICTIMS AND TAXPAYERS - NO ON 36",1
1224009,CALIFORNIANS FOR HIGHER EDUCATION,1
1224009,CALIFORNIANS FOR HIGHER EDUCATION / YES ON 1D,1
1224009,"CALIFORNIANS FOR HIGHER EDUCATION, YES ON 55",1
1224045,"NO ON 38, A COALITION OF PARENTS, EDUCATORS, BUSINESS, LABOR AND PUBLIC SAFETY",1
1224774,"CALIFORNIANS AGAINST PHONY ""REFORM"" - NO ON 34-SPONSORED BY LEAGUE OF WOMEN VOTERS OF CALIFORNIA, AMERICAN ASSOCIATION OF RETIRED PERSONS-CALIFORNIA (AARP), COMMON CAUSE",1
1225770,COMMITTEE FOR LEGISLATIVE COMPENSATION REFORM - YES ON 33,1
1225886,"CITIZENS FOR CONSTITUTIONAL CAMPAIGN REFORM, YES ON PROP 34",1
1225971,CALIFORNIANS FOR CRIME PREVENTION AND FOR PROPOSITION 36,1
1225973,CALIFORNIANS FOR BETTER PUBLIC SCHOOLS AND FOR PROP 39 AND AGAINST 38,2
1226395,"CHEMICAL INDUSTRY COUNCIL OF CALIFORNIA ISSUES PAC, YES ON 37",1
1228025,"TAXPAYERS AGAINST POLLUTER PROTECTION, NO ON 37",1
1229504,"AMERICAN FEDERATION OF TEACHERS, AFL-CIO (YES ON 25)",1
1229739,CALIFORNIA PUBLIC INTEREST RESEARCH GROUP,1
1231681,FUND FOR BETTER SCHOOLS - YES ON 47,1
1233779,"CITIZENS' RIGHT TO PETITION, YES ON PROP. 45, A COALITION OF CITIZENS, ORGANIZATIONS AND ENTITIES, INCLUDING POLITICAL COMMITTEES, REPRESENTING THE INTERESTS OF SENIOR CITIZENS, TAXPAYERS, TEACHERS, C",1
1236419,"NO ON 45: STOP THE POLITICIANS, SPONSORED BY AMERICANS FOR LIMITED TERMS",1
1237969,YES ON PROPOSITION 54 / RACIAL PRIVACY INITIATIVE SPONSORED BY AMERICAN CIVIL RIGHTS COALITION,1
1238613,"YES ON 42 - TAXPAYERS, CONSTRUCTION, BUSINESS, LABOR, ENGINEERS",1
1238760,"CALIFORNIA CONSERVATION CAMPAIGN, THE",2
1239248,YES ON 52 CALIFORNIANS FOR ELECTION DAY VOTER REGISTRATION,1
1239872,"YES ON PROP. 41, SEQUOIA PACIFIC VOTING EQUIPMENT AND VOTING TECHNOLOGY DEVELOPERS",1
1239911,"YES ON 51 PROJECT OF PLANNING & CONSERVATION LEAGUE, CONSERVATIONISTS, HIGHER ED, COMMUNITY GROUPS, HOME BUILDERS, TRANSPORTATION DEVELOPERS, INDIAN GAMING, OPEN SPACE LANDOWNERS, CLEAN ENGINE MAKERS",1
1239930,"YES ON 45. CITIZENS RIGHT TO VOTE. A COALITION TO IMPROVE TERM LIMITS SPONSORED BY FIREFIGHTERS, TEACHERS, SENIORS, RETAILERS, THE CHAMBER OF COMMERCE AND THE LEAGUE OF WOMEN VOTERS.",1
1240104,CALIFORNIA FEDERATION OF TEACHERS COPE PROP/BALLOT COMMITTEE - YES ON 25,1
1240169,CALIFORNIA STATE COUNCIL OF LABORERS ISSUES PAC - YES ON 30,1
1240592,"CITIZENS FOR AFTER SCHOOL PROGRAMS, YES ON PROPOSITION 49",1
1241134,"YES ON 50, CALIFORNIANS FOR SAFE, CLEAN WATER, FUNDED BY PACS AND ORGANIZATIONS ESTABLISHED TO PROTECT THE ENVIRONMENT CONSERVATION GROUPS, AND OWNERS OF OPEN SPACE",1
1241445,"CITIZENS & LAW ENFORCEMENT AGAINST ELECTION FRAUD, NO ON PROPOSITION 52",1
1241819,CALIFORNIA HERITAGE COALITION - A COMMITTEE FOR PROPOSITION 40,1
1242018,"AMERICAN COLLEGE OF EMERGENCY PHYSICIANS STATE CHAPTER OF CALIFORNIA, INC. INITIATIVE FUND (AKA CAL/ACEP) - YES ON 67",1
1242194,ANZA-BORREGO FOUNDATION COMMITTEE,1
1243044,CALIFORNIA ASSOCIATION OF LOCAL CONSERVATION CORPS,1
1243211,"NO ON 42,  A COALITION FOR TEACHERS AND SERVICE EMPLOYEES WHO OPPOSE DIVERTING FUNDS FROM SCHOOLS, HOSPITALS AND SENIORS",1
1244196,"YES ON 46, A COALITION OF TEACHERS, HOMEBUILDERS, LABOR, LENDERS, REALTORS, JOHN BURTON, BUSINESSES AND OTHER SUPPORTERS OF EMERGENCY SHELTER AND AFFORDABLE HOUSING",1
1244492,"NO ON 54: TEACHERS, WORKERS, HEALTHCARE, CIVIL LIBERTIES & ENTERTAINMENT GROUPS",1
1245164,PCL'S YES ON 50 AND 51 COMMITTEE,2
1245176,"CALIFORNIAN'S FOR FISCAL RESTRAINT, NO ON PROPOSITION 50",1
1245318,"YES ON 50. COALITION OF CONSERVATIONISTS, BUSINESS, WATER & ENGINEERING COS., OWNERS OF OPEN SPACE.",1
1245448,"CALIFORNIANS FOR ACCOUNTABILITY AND BETTER SCHOOLS, A COALITION OF TAXPAYERS, PARENTS, SENIORS, EDUCATORS, BUILDERS, LABOR AND BUSINESS",1
1245448,"YES ON 47: TAXPAYERS, PARENTS, EDUCATORS, BUSINESS, LABOR, BUILDERS",1
1245448,"YES ON 55 -- CALIFORNIANS FOR ACCOUNTABILITY AND BETTER SCHOOLS, A COALITION OF TAXPAYERS, PARENTS, SENIORS, EDUCATORS, BUILDERS, LABOR AND BUSINESS",1
1247731,NO ON PROPOSITION 51 COMMITTEE,1
1248158,"ORANGE COUNTY VOTERS FOR GOOD GOVERNMENT, YES ON PROP. 51",1
1248678,"STOP PROP 49, A COMMITTEE AGAINST PROPOSITION 49 SPONSORED BY THE LEAGUE OF WOMEN VOTERS OF CALIFORNIA",1
1249695,TEMECULA VALLEY YES ON PROP 47,1
1249945,VALLEY CITIZENS FOR PROPOSITION 47,1
1253055,"YES ON CALIFORNIAN'S INFRASTRUCTURE, YES ON 53",1
1253179,RECALL GRAY DAVIS COMMITTEE,1
1253300,DAVIS RECALL COMMITTEE,1
1253820,"CAMPAIGN FOR SENSIBLE SENTENCING, SPONSORED BY F.A.C.T.S., THE",1
1254038,"CALIFORNIANS  FOR BUDGET ACCOUNTABILITY - YES ON 56 - A COALITION OF THE LEAGUE OF WOMEN VOTERS, FIREFIGHTERS, EDUCATORS, PARENTS, HEALTHCARE WORKERS, SENIORS, FACULTY MEMBERS, AND PUBLIC AND SCHOOL E",1
1254104,"CALIFORNIANS AGAINST HIGHER TAXES - NO ON 56, A COALITION OF TAXPAYERS, CONSUMERS, BUSINESSES, RETAILERS",1
1254399,"LEAGUE OF CALIFORNIA CITIES CITIPAC, SUPPORTING PROPOSITION 22",1
1254533,"CAMPAIGN FOR MENTAL HEALTH - YESON63.ORG - COMMUNITY MENTAL HEALTH PROVIDERS, FAMILIES, AND CONSUMERS, AND OTHER SUPPORTERS OF INCREASED MENTAL HEALTH SERVICES FUNDING",1
1254571,RECALL GRAY DAVIS NOW,1
1254759,RESCUE CALIFORNIA...RECALL GRAY DAVIS,1
1254858,RECALL GRAY DAVIS TODAY COMMITTEE,1
1255059,"TAXPAYERS AGAINST THE GOVERNOR'S RECALL, ENVIRONMENTAL, LABOR AND RELIGIOUS ORGANIZATIONS AND OTHERS WHO OPPOSE THE WASTE OF TAXPAYER DOLLARS",1
1255584,"DAVIS, REPUBLICANS AGAINST THE RECALL. COM, AGAINST THE RECALL OF GOVERNOR",1
1256083,SANTA CLARA COUNTY COALITION FOR AN INFORMED CALIFORNIA,1
1256139,WATCHDOG OVER LEGISLATION FOUNDATION,1
1256259,CALIFORNIA MOTOR CAR DEALERS ASSOCIATION FUND TO STOP SHAKEDOWN LAWSUITS - YES ON 64,1
1256375,DEMOCRATS AGAINST GRAY DAVIS,1
1256416,"CALIFORNIANS AGAINST THE COSTLY RECALL OF THE GOVERNOR: COALITION OF FIREFIGHTERS, WORKERS, EDUCATORS, BUS, BUS LEADERS, CA DEM PARTY, ENTERTAINMENT BUS, DEM GOVERNORS, GOVERNOR GRAY DAVIS COMMITTEE",1
1256562,STOP 54,1
1256587,"COALITION TO PRESERVE EMERGENCY CARE - SPONSORED BY FIREFIGHTERS, PARAMEDICS, DOCTORS, NURSES AND HEALTHCARE PROVIDERS - YES ON 67",1
1256875,CALIFORNIANS TO STOP THE CON! NO ON THE RECALL & NO ON PROP. 54 (SPONSORED BY NEIGHBOR TO NEIGHBOR),2
1256989,PROGRESSIVE DEMOCRATS AND INDEPENDENTS AGAINST THE GOVERNOR'S RECALL,1
1257244,CALIFORNIANS FOR STABILITY - NO ON THE GOVERNOR'S RECALL,1
1257254,"YES ON 64 -- CALIFORNIANS TO STOP SHAKEDOWN LAWSUITS, A COALITION OF TAXPAYERS, AUTOMOBILE DEALERS, BUSINESS GROUPS AND CIVIL JUSTICE REFORM SUPPORTERS",1
1257330,"SCHWARZENEGGER'S TOTAL RECALL COMMITTEE, VOTE YES TO RECALL GRAY DAVIS, ARNOLD",1
1257432,"YES ON CHILDREN'S HOSPITALS, YES ON 61, SPONSORED BY CALIFORNIA CHILDREN'S HOSPITAL ASSOCIATION",1
1257450,ASIAN AMERICAN FAMILIES AGAINST PROP 54,1
1257589,ALAMEDA COUNTY AGAINST THE RECALL DBA ACAR,1
1257645,UNITED SACRAMENTO CITIZENS AGAINST THE INFORMATION BAN,1
1257701,CALIFORNIA MAJORITY,1
1257764,VAMOS ADELANTE - NO ON PROP. 54,1
1257912,NAACP NATIONAL VOTER FUND - NO ON PROP. 54,1
1257926,CALIFORNIANS FOR GOVERNMENT ACCOUNTABILITY - NO ON THE GOVERNOR'S RECALL - YES ON BUSTAMANTE,1
1257969,"YES ON 85, MAJOR FUNDING PROVIDED BY JIM HOLMAN, DON SEBASTIANI, AND OTHERS TO REFORM PARENTS' RIGHT TO KNOW AND CHILD PROTECTION LAWS IN CALIFORNIA. (AKA ""LIFE ON THE BALLOT - PARENTS RIGHT TO KNOW"")",2
1258000,SAN FRANCISCANS AGAINST PROP. 54,1
1258103,COMMITTEE TO KEEP THE DREAM ALIVE - VOTE NO ON PROPOSITION 54,1
1258109,SACRAMENTO COUNTY DEMOCRATS OPPOSED TO THE RECALL,2
1258110,"SAN DIEGO COALITION FOR AN INFORMED CALIFORNIA, COMMITTEE AGAINST PROPOSITION 54",1
1258131,"NO ON PROPOSITION 53, TAXPAYERS AGAINST RUNAWAY DEFICITS",1
1258137,"BUSTAMANTE COMMITTEE AGAINST PROP. 54, THE CRUZ",1
1258201,"STOP THE PHONE TAX - NO ON 67, A COALITION OF SENIORS, TAXPAYERS, CONSUMERS, SMALL BUSINESSES AND TELECOMMUNICATIONS PROVIDERS",1
1258540,MOVEON.ORG PAC A COMMITTEE AGAINST THE RECALL OF THE GOVERNOR AND PROPOSITION 54,1
1258807,"SACRAMENTO REGIONAL AFRICAN AMERICAN COALITION, SRAAC",1
1259396,"NO ON 8, EQUALITY FOR ALL",1
1260238,"CALIFORNIANS FOR AN OPEN PRIMARY PAC, YES ON 62, NO ON 60, MAJOR FUNDING BY AGRICULTURE, TECHNOLOGY, LAND, FINANCIAL INSTITUTIONS, INSURANCE, EDUCATOR, TRUSTS, BUSINESSPERSONS/PHILANTHROPISTS, STEVEN",2
1260240,"CALIFORNIANS AGAINST GOVERNMENT RUN HEALTHCARE, A COMMITTEE AGAINST PROPOSITION 72, WITH MAJOR FUNDING BY RESTAURANTS AND RETAILERS",1
1260376,"YES ON 1A CALIFORNIANS TO PROTECT LOCAL TAXPAYERS AND PUBLIC SAFETY, SPONSORED BY A COALITION OF LOCAL GOVERNMENT ORGANIZATIONS",1
1260631,NO ON 57/CALIFORNIANS AGAINST MORTGAGING OUR CHILDREN'S FUTURE: SUPPORTED BY STATE TREASURER PHIL ANGELIDES AND STEVE BING,2
1260661,YES ON 71: COALITION FOR STEM CELL RESEARCH AND CURES,1
1260733,"YES ON 68, A FAIR SHARE FOR CALIFORNIA, A COALITION OF LAW ENFORCEMENT, EDUCATORS AND LABOR, SUPPORTED BY HORSE RACING AND CARD CLUBS",1
1260771,"NO ON PROP. 63, CITIZENS FOR A HEALTHY CALIFORNIA",1
1261021,"CALIFORNIANS FOR INDIAN SELF-RELIANCE, SPONSORED BY CALIFORNIA INDIAN TRIBES (TRIBAL GAMING), NO ON PROP. 68",1
1261319,"YES ON 72, SAVE YOUR HEALTHCARE: SUPPORTED BY NURSES, DOCTORS, UNIONS, CONCUMER ADVOCATES",1
1261406,"SCHWARZENEGGER'S CALIFORNIA DREAM TEAM, A BALLOT MEASURE COMMITTEE, GOVERNOR",6
1261406,"SCHWARZENEGGER'S CALIFORNIA RECOVERY TEAM, GOVERNOR",4
1261543,CALIFORNIANS FOR THE DNA FINGERPRINT - YES ON 69,1
1261851,"NO ON 68: CALIFORNIANS AGAINST THE DECEPTIVE GAMBLING PROPOSITION, A COALITION OF INDIAN GAMING TRIBES",1
1261936,CALIFORNIANS FOR A BALANCED BUDGET - YES ON 57 & 58,2
1262193,"FIRST CALIFORNIANS FOR SELF RELIANCE, NO ON 68, A COALITION OF THE MORONGO, PALA, RUMSEY, UNITED AUBURN AND VIEJAS GAMING TRIBES",1
1262916,"YES ON 70, MAJOR FUNDING BY AGUA CALIENTE BAND OF CAHUILLA INDIANS, SAN MANUEL BAND OF MISSION INDIANS AND OTHER INDIAN GAMING TRIBES",1
1263036,DEMOCRATS FOR 57/58,2
