id,name,start_time
ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,2000 PRIMARY,2000-03-07 00:00:00+00:00
ocd-event/733b062d-75d2-4e23-8e17-838f808780be,2000 GENERAL,2000-11-07 00:00:00+00:00
ocd-event/710d2a25-b8ea-4617-a370-f21373c78a59,2001 SPECIAL RUNOFF (ASSEMBLY 65),2001-02-06 00:00:00+00:00
ocd-event/583923d1-2ffb-4f2f-9e63-ac80542c5eff,2001 SPECIAL ELECTION (STATE SENATE 24),2001-03-26 00:00:00+00:00
ocd-event/11c07a43-9b8b-47c0-a9ba-599de0fc6f3a,2001 SPECIAL ELECTION (ASSEMBLY 65),2001-04-03 00:00:00+00:00
ocd-event/2f28b917-48bc-4d21-b48d-f975a4586bcc,2001 SPECIAL ELECTION (ASSEMBLY 49),2001-05-15 00:00:00+00:00
ocd-event/dccf18ff-aca7-41ee-ab61-f15eb6250918,2002 PRIMARY,2002-03-05 00:00:00+00:00
ocd-event/bd2142ef-f6d3-4b57-bf97-aaa6091e4e5c,2002 GENERAL,2002-11-05 00:00:00+00:00
ocd-event/291fe00e-1e45-40ec-a105-86dde9c8b759,2003 SPECIAL ELECTION,2003-10-07 00:00:00+00:00
ocd-event/0bbce3dc-5789-4879-b66b-61bf3d3bd844,2004 PRIMARY,2004-03-02 00:00:00+00:00
ocd-event/65ba4033-2bed-4802-98e7-1cf5a3bd2e5a,2004 GENERAL,2004-11-02 00:00:00+00:00
ocd-event/9fd7323f-f5c0-43b6-8c84-ea87a30f8f54,2005 SPECIAL ELECTION (ASSEMBLY 53),2005-09-13 00:00:00+00:00
ocd-event/225b7058-95c3-48f0-bee2-7ff16c0b1adf,2005 SPECIAL ELECTION,2005-11-08 00:00:00+00:00
ocd-event/cce8d13b-551e-40c5-a4f2-e3df546f0884,2006 SPECIAL ELECTION (STATE SENATE 35),2006-04-11 00:00:00+00:00
ocd-event/c2c717ce-d921-4a44-a09e-478320c65110,2006 PRIMARY,2006-06-06 00:00:00+00:00
ocd-event/c36b524d-5c0a-46bd-bf78-c4ea8c0d0134,2006 GENERAL,2006-11-07 00:00:00+00:00
