calaccess_committee_id,committee_name,calaccess_filing_id,date_filed,from_date,thru_date,total_contributions,total_expenditures_made
1340976,"2012 AUTO INSURANCE DISCOUNT ACT, YES ON PROPOSITION 33, SPONSORED BY THE AMERICAN AGENTS ALLIANCE WITH SUPPORT FROM CALIFORNIA INSURANCE PROVIDERS FOR COMPETITIVE PRICES AND CONSUMER DISCOUNTS, THE",1622725,2012-04-30,2011-01-01,2011-09-30,8227127.0,1083096.0
1340976,"2012 AUTO INSURANCE DISCOUNT ACT, YES ON PROPOSITION 33, SPONSORED BY THE AMERICAN AGENTS ALLIANCE WITH SUPPORT FROM CALIFORNIA INSURANCE PROVIDERS FOR COMPETITIVE PRICES AND CONSUMER DISCOUNTS, THE",1635951,2012-04-30,2011-10-01,2011-12-31,47751.0,1264650.0
1340976,"2012 AUTO INSURANCE DISCOUNT ACT, YES ON PROPOSITION 33, SPONSORED BY THE AMERICAN AGENTS ALLIANCE WITH SUPPORT FROM CALIFORNIA INSURANCE PROVIDERS FOR COMPETITIVE PRICES AND CONSUMER DISCOUNTS, THE",1657731,2012-06-08,2012-01-01,2012-03-31,1707.0,236438.0
1340976,"2012 AUTO INSURANCE DISCOUNT ACT, YES ON PROPOSITION 33, SPONSORED BY THE AMERICAN AGENTS ALLIANCE WITH SUPPORT FROM CALIFORNIA INSURANCE PROVIDERS FOR COMPETITIVE PRICES AND CONSUMER DISCOUNTS, THE",1677945,2012-07-30,2012-04-01,2012-06-30,21497.0,239163.0
1340976,"2012 AUTO INSURANCE DISCOUNT ACT, YES ON PROPOSITION 33, SPONSORED BY THE AMERICAN AGENTS ALLIANCE WITH SUPPORT FROM CALIFORNIA INSURANCE PROVIDERS FOR COMPETITIVE PRICES AND CONSUMER DISCOUNTS, THE",1694941,2013-01-15,2012-07-01,2012-09-30,31800.0,3875759.0
1340976,"2012 AUTO INSURANCE DISCOUNT ACT, YES ON PROPOSITION 33, SPONSORED BY THE AMERICAN AGENTS ALLIANCE WITH SUPPORT FROM CALIFORNIA INSURANCE PROVIDERS FOR COMPETITIVE PRICES AND CONSUMER DISCOUNTS, THE",1703865,2013-07-23,2012-10-01,2012-10-20,8024725.0,9607648.0
1340976,"2012 AUTO INSURANCE DISCOUNT ACT, YES ON PROPOSITION 33, SPONSORED BY THE AMERICAN AGENTS ALLIANCE WITH SUPPORT FROM CALIFORNIA INSURANCE PROVIDERS FOR COMPETITIVE PRICES AND CONSUMER DISCOUNTS, THE",1727236,2013-07-23,2012-10-21,2012-12-31,583643.0,681955.0
1340976,"2012 AUTO INSURANCE DISCOUNT ACT, YES ON PROPOSITION 33, SPONSORED BY THE AMERICAN AGENTS ALLIANCE WITH SUPPORT FROM CALIFORNIA INSURANCE PROVIDERS FOR COMPETITIVE PRICES AND CONSUMER DISCOUNTS, THE",1777940,2013-06-06,2013-01-01,2013-06-30,0.0,390.0
1340976,"2012 AUTO INSURANCE DISCOUNT ACT, YES ON PROPOSITION 33, SPONSORED BY THE AMERICAN AGENTS ALLIANCE WITH SUPPORT FROM CALIFORNIA INSURANCE PROVIDERS FOR COMPETITIVE PRICES AND CONSUMER DISCOUNTS, THE",1809144,2014-01-07,2013-07-01,2013-12-31,0.0,0.0
1340976,"2012 AUTO INSURANCE DISCOUNT ACT, YES ON PROPOSITION 33, SPONSORED BY THE AMERICAN AGENTS ALLIANCE WITH SUPPORT FROM CALIFORNIA INSURANCE PROVIDERS FOR COMPETITIVE PRICES AND CONSUMER DISCOUNTS, THE",1869245,2014-07-06,2014-01-01,2014-06-30,0.0,50.0
1340976,"2012 AUTO INSURANCE DISCOUNT ACT, YES ON PROPOSITION 33, SPONSORED BY THE AMERICAN AGENTS ALLIANCE WITH SUPPORT FROM CALIFORNIA INSURANCE PROVIDERS FOR COMPETITIVE PRICES AND CONSUMER DISCOUNTS, THE",1880843,2014-08-22,2014-07-01,2014-08-26,0.0,2554.0
1279513,"A COALITION OF LEGAL EXPERTS, FILMMAKERS, BUSINESSMEN, AND WORKING PEOPLE. MAJOR FUNDING BY SHANGRI-LA ENTERTAINMENT, LLC & AMERICAN FAMILY VOICES - NO ON 77",1126401,2005-09-29,2005-01-01,2005-09-24,123000.0,19237.0
1279513,"A COALITION OF LEGAL EXPERTS, FILMMAKERS, BUSINESSMEN, AND WORKING PEOPLE. MAJOR FUNDING BY SHANGRI-LA ENTERTAINMENT, LLC & AMERICAN FAMILY VOICES - NO ON 77",1131877,2005-10-27,2005-09-25,2005-10-22,7039912.0,3083131.0
1279513,"A COALITION OF LEGAL EXPERTS, FILMMAKERS, BUSINESSMEN, AND WORKING PEOPLE. MAJOR FUNDING BY SHANGRI-LA ENTERTAINMENT, LLC & AMERICAN FAMILY VOICES - NO ON 77",1149352,2006-01-31,2005-10-23,2005-12-31,2023534.0,5252377.0
1279513,"A COALITION OF LEGAL EXPERTS, FILMMAKERS, BUSINESSMEN, AND WORKING PEOPLE. MAJOR FUNDING BY SHANGRI-LA ENTERTAINMENT, LLC & AMERICAN FAMILY VOICES - NO ON 77",1192315,2006-07-31,2006-01-01,2006-06-30,-765655.0,145384.0
1279513,"A COALITION OF LEGAL EXPERTS, FILMMAKERS, BUSINESSMEN, AND WORKING PEOPLE. MAJOR FUNDING BY SHANGRI-LA ENTERTAINMENT, LLC & AMERICAN FAMILY VOICES - NO ON 77",1239006,2007-01-31,2006-07-01,2006-12-31,0.0,0.0
1279513,"A COALITION OF LEGAL EXPERTS, FILMMAKERS, BUSINESSMEN, AND WORKING PEOPLE. MAJOR FUNDING BY SHANGRI-LA ENTERTAINMENT, LLC & AMERICAN FAMILY VOICES - NO ON 77",1285525,2007-07-31,2007-01-01,2007-06-30,0.0,0.0
1279513,"A COALITION OF LEGAL EXPERTS, FILMMAKERS, BUSINESSMEN, AND WORKING PEOPLE. MAJOR FUNDING BY SHANGRI-LA ENTERTAINMENT, LLC & AMERICAN FAMILY VOICES - NO ON 77",1311931,2008-01-31,2007-07-01,2007-12-31,0.0,107.0
1279513,"A COALITION OF LEGAL EXPERTS, FILMMAKERS, BUSINESSMEN, AND WORKING PEOPLE. MAJOR FUNDING BY SHANGRI-LA ENTERTAINMENT, LLC & AMERICAN FAMILY VOICES - NO ON 77",1348157,2008-07-29,2008-01-01,2008-06-30,0.0,4918.0
1279513,"A COALITION OF LEGAL EXPERTS, FILMMAKERS, BUSINESSMEN, AND WORKING PEOPLE. MAJOR FUNDING BY SHANGRI-LA ENTERTAINMENT, LLC & AMERICAN FAMILY VOICES - NO ON 77",1398848,2009-02-02,2008-07-01,2008-12-31,0.0,0.0
1279513,"A COALITION OF LEGAL EXPERTS, FILMMAKERS, BUSINESSMEN, AND WORKING PEOPLE. MAJOR FUNDING BY SHANGRI-LA ENTERTAINMENT, LLC & AMERICAN FAMILY VOICES - NO ON 77",1438420,2009-07-31,2009-01-01,2009-06-30,0.0,0.0
1279513,"A COALITION OF LEGAL EXPERTS, FILMMAKERS, BUSINESSMEN, AND WORKING PEOPLE. MAJOR FUNDING BY SHANGRI-LA ENTERTAINMENT, LLC & AMERICAN FAMILY VOICES - NO ON 77",1465732,2010-02-01,2009-07-01,2009-12-31,0.0,0.0
1279513,"A COALITION OF LEGAL EXPERTS, FILMMAKERS, BUSINESSMEN, AND WORKING PEOPLE. MAJOR FUNDING BY SHANGRI-LA ENTERTAINMENT, LLC & AMERICAN FAMILY VOICES - NO ON 77",1507389,2010-08-02,2010-01-01,2010-06-30,0.0,0.0
1279513,"A COALITION OF LEGAL EXPERTS, FILMMAKERS, BUSINESSMEN, AND WORKING PEOPLE. MAJOR FUNDING BY SHANGRI-LA ENTERTAINMENT, LLC & AMERICAN FAMILY VOICES - NO ON 77",1572457,2011-01-31,2010-07-01,2010-12-31,0.0,932.0
1279513,"A COALITION OF LEGAL EXPERTS, FILMMAKERS, BUSINESSMEN, AND WORKING PEOPLE. MAJOR FUNDING BY SHANGRI-LA ENTERTAINMENT, LLC & AMERICAN FAMILY VOICES - NO ON 77",1609048,2011-08-01,2011-01-01,2011-06-30,0.0,0.0
1279513,"A COALITION OF LEGAL EXPERTS, FILMMAKERS, BUSINESSMEN, AND WORKING PEOPLE. MAJOR FUNDING BY SHANGRI-LA ENTERTAINMENT, LLC & AMERICAN FAMILY VOICES - NO ON 77",1637862,2012-01-31,2011-07-01,2011-12-31,0.0,0.0
1279513,"A COALITION OF LEGAL EXPERTS, FILMMAKERS, BUSINESSMEN, AND WORKING PEOPLE. MAJOR FUNDING BY SHANGRI-LA ENTERTAINMENT, LLC & AMERICAN FAMILY VOICES - NO ON 77",1680425,2012-07-31,2012-01-01,2012-06-30,0.0,0.0
1279513,"A COALITION OF LEGAL EXPERTS, FILMMAKERS, BUSINESSMEN, AND WORKING PEOPLE. MAJOR FUNDING BY SHANGRI-LA ENTERTAINMENT, LLC & AMERICAN FAMILY VOICES - NO ON 77",1740625,2013-01-31,2012-07-01,2012-12-31,0.0,0.0
1279513,"A COALITION OF LEGAL EXPERTS, FILMMAKERS, BUSINESSMEN, AND WORKING PEOPLE. MAJOR FUNDING BY SHANGRI-LA ENTERTAINMENT, LLC & AMERICAN FAMILY VOICES - NO ON 77",1778276,2013-07-25,2013-01-01,2013-06-30,0.0,519.0
1279513,"A COALITION OF LEGAL EXPERTS, FILMMAKERS, BUSINESSMEN, AND WORKING PEOPLE. MAJOR FUNDING BY SHANGRI-LA ENTERTAINMENT, LLC & AMERICAN FAMILY VOICES - NO ON 77",1818334,2014-01-31,2013-07-01,2013-12-31,0.0,4355.0
1296303,"A COALITION OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION, FUNDED BY THOMAS COATES, THE CALIFORNIA ASSOCIATION OF REALTORS ISSUES PAC, AND THE CALIFORNIA FARM BUREAU FEDERATION, YES PROP 98",1260376,2007-04-27,2007-01-01,2007-03-31,200000.0,0.0
1296303,"A COALITION OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION, FUNDED BY THOMAS COATES, THE CALIFORNIA ASSOCIATION OF REALTORS ISSUES PAC, AND THE CALIFORNIA FARM BUREAU FEDERATION, YES PROP 98",1284340,2007-07-31,2007-04-01,2007-06-30,28202.0,153792.0
1296303,"A COALITION OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION, FUNDED BY THOMAS COATES, THE CALIFORNIA ASSOCIATION OF REALTORS ISSUES PAC, AND THE CALIFORNIA FARM BUREAU FEDERATION, YES PROP 98",1297670,2008-01-31,2007-07-01,2007-09-30,1435274.0,1085022.0
1296303,"A COALITION OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION, FUNDED BY THOMAS COATES, THE CALIFORNIA ASSOCIATION OF REALTORS ISSUES PAC, AND THE CALIFORNIA FARM BUREAU FEDERATION, YES PROP 98",1312107,2008-01-31,2007-10-01,2007-12-31,440518.0,847726.0
1296303,"A COALITION OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION, FUNDED BY THOMAS COATES, THE CALIFORNIA ASSOCIATION OF REALTORS ISSUES PAC, AND THE CALIFORNIA FARM BUREAU FEDERATION, YES PROP 98",1320029,2008-05-01,2008-01-01,2008-03-17,1074089.0,476874.0
1296303,"A COALITION OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION, FUNDED BY THOMAS COATES, THE CALIFORNIA ASSOCIATION OF REALTORS ISSUES PAC, AND THE CALIFORNIA FARM BUREAU FEDERATION, YES PROP 98",1335094,2008-06-02,2008-03-18,2008-05-17,3583232.0,3777457.0
1296303,"A COALITION OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION, FUNDED BY THOMAS COATES, THE CALIFORNIA ASSOCIATION OF REALTORS ISSUES PAC, AND THE CALIFORNIA FARM BUREAU FEDERATION, YES PROP 98",1350683,2008-07-31,2008-05-18,2008-06-30,185514.0,571806.0
1296303,"A COALITION OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION, FUNDED BY THOMAS COATES, THE CALIFORNIA ASSOCIATION OF REALTORS ISSUES PAC, AND THE CALIFORNIA FARM BUREAU FEDERATION, YES PROP 98",1397240,2009-02-02,2008-07-01,2008-12-31,-38150.0,17572.0
1296303,"A COALITION OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION, FUNDED BY THOMAS COATES, THE CALIFORNIA ASSOCIATION OF REALTORS ISSUES PAC, AND THE CALIFORNIA FARM BUREAU FEDERATION, YES PROP 98",1416860,2009-04-09,2009-01-01,2009-04-03,-5214.0,4569.0
1344843,"A COMMITTEE IN SUPPORT OF PROPOSITION 34, SPONSORED BY ACLU OF NORTHERN CALIFORNIA",1788990,2013-08-23,2012-01-01,2012-06-30,202000.0,137791.0
1344843,"A COMMITTEE IN SUPPORT OF PROPOSITION 34, SPONSORED BY ACLU OF NORTHERN CALIFORNIA",1788996,2013-08-23,2012-07-01,2012-09-30,0.0,34441.0
1344843,"A COMMITTEE IN SUPPORT OF PROPOSITION 34, SPONSORED BY ACLU OF NORTHERN CALIFORNIA",1789007,2013-08-23,2012-10-01,2012-10-20,0.0,7424.0
1344843,"A COMMITTEE IN SUPPORT OF PROPOSITION 34, SPONSORED BY ACLU OF NORTHERN CALIFORNIA",1739589,2013-01-31,2012-11-06,2012-12-31,0.0,0.0
1344843,"A COMMITTEE IN SUPPORT OF PROPOSITION 34, SPONSORED BY ACLU OF NORTHERN CALIFORNIA",1789017,2013-08-23,2012-10-21,2012-12-31,0.0,22345.0
1344843,"A COMMITTEE IN SUPPORT OF PROPOSITION 34, SPONSORED BY ACLU OF NORTHERN CALIFORNIA",1773562,2013-07-01,2013-01-01,2013-06-30,0.0,0.0
1344843,"A COMMITTEE IN SUPPORT OF PROPOSITION 34, SPONSORED BY ACLU OF NORTHERN CALIFORNIA",1807079,2013-12-11,2013-07-01,2013-12-11,0.0,0.0
1386560,ADULT USE CAMPAIGN FOR PROPOSITION 64; THE,2083796,2016-09-29,2016-07-01,2016-09-24,12177.0,11310.0
1386560,ADULT USE CAMPAIGN FOR PROPOSITION 64; THE,2098758,2016-10-28,2016-09-25,2016-10-22,1855.0,4362.0
1386560,ADULT USE CAMPAIGN FOR PROPOSITION 64; THE,2131665,2017-01-31,2016-10-23,2016-12-31,7337.0,5793.0
1273998,"ALLIANCE FOR A BETTER CALIFORNIA, EDUCATORS, FIREFIGHTERS, SCHOOL EMPLOYEES, HEALTH CARE GIVERS AND LABOR ORGANIZATIONS",1105724,2005-05-02,2005-01-01,2005-03-31,3445405.0,2756529.0
1273998,"ALLIANCE FOR A BETTER CALIFORNIA, EDUCATORS, FIREFIGHTERS, SCHOOL EMPLOYEES, HEALTH CARE GIVERS AND LABOR ORGANIZATIONS",1119297,2005-11-02,2005-04-01,2005-06-30,6757405.0,7366232.0
1273998,"ALLIANCE FOR A BETTER CALIFORNIA, EDUCATORS, FIREFIGHTERS, SCHOOL EMPLOYEES, HEALTH CARE GIVERS AND LABOR ORGANIZATIONS",1132089,2005-12-23,2005-07-01,2005-10-22,23234446.0,22510860.0
1273998,"ALLIANCE FOR A BETTER CALIFORNIA, EDUCATORS, FIREFIGHTERS, SCHOOL EMPLOYEES, HEALTH CARE GIVERS AND LABOR ORGANIZATIONS",1148494,2006-07-31,2005-10-23,2005-12-31,6265936.0,7135401.0
1273998,"ALLIANCE FOR A BETTER CALIFORNIA, EDUCATORS, FIREFIGHTERS, SCHOOL EMPLOYEES, HEALTH CARE GIVERS AND LABOR ORGANIZATIONS",1192183,2006-07-31,2006-01-01,2006-06-30,383176.0,325152.0
1273998,"ALLIANCE FOR A BETTER CALIFORNIA, EDUCATORS, FIREFIGHTERS, SCHOOL EMPLOYEES, HEALTH CARE GIVERS AND LABOR ORGANIZATIONS",1204424,2006-10-05,2006-07-01,2006-09-30,5528150.0,5190533.0
1273998,"ALLIANCE FOR A BETTER CALIFORNIA, EDUCATORS, FIREFIGHTERS, SCHOOL EMPLOYEES, HEALTH CARE GIVERS AND LABOR ORGANIZATIONS",1212671,2006-10-26,2006-10-01,2006-10-21,775750.0,1240559.0
1273998,"ALLIANCE FOR A BETTER CALIFORNIA, EDUCATORS, FIREFIGHTERS, SCHOOL EMPLOYEES, HEALTH CARE GIVERS AND LABOR ORGANIZATIONS",1237037,2007-01-31,2006-10-22,2006-12-31,1250.0,42562.0
1273998,"ALLIANCE FOR A BETTER CALIFORNIA, EDUCATORS, FIREFIGHTERS, SCHOOL EMPLOYEES, HEALTH CARE GIVERS AND LABOR ORGANIZATIONS",1282762,2007-07-30,2007-01-01,2007-06-30,0.0,28032.0
1273998,"ALLIANCE FOR A BETTER CALIFORNIA, EDUCATORS, FIREFIGHTERS, SCHOOL EMPLOYEES, HEALTH CARE GIVERS AND LABOR ORGANIZATIONS",1308190,2008-01-29,2007-07-01,2007-12-31,0.0,4206.0
1273998,"ALLIANCE FOR A BETTER CALIFORNIA, EDUCATORS, FIREFIGHTERS, SCHOOL EMPLOYEES, HEALTH CARE GIVERS AND LABOR ORGANIZATIONS",1347064,2008-07-28,2008-01-01,2008-06-30,0.0,3012.0
1273998,"ALLIANCE FOR A BETTER CALIFORNIA, EDUCATORS, FIREFIGHTERS, SCHOOL EMPLOYEES, HEALTH CARE GIVERS AND LABOR ORGANIZATIONS",1393560,2009-01-28,2008-07-01,2008-12-31,0.0,1357.0
1273998,"ALLIANCE FOR A BETTER CALIFORNIA, EDUCATORS, FIREFIGHTERS, SCHOOL EMPLOYEES, HEALTH CARE GIVERS AND LABOR ORGANIZATIONS",1433945,2009-07-27,2009-01-01,2009-06-30,0.0,2087.0
