ocd_prop_id,calaccess_prop_id,ccdc_prop_id,prop_name
ocd-contest/08324a50-6e16-4a9a-8f66-ea1fa4dea70d,1376258,70,PROPOSITION 051 - SCHOOL BONDS. FUNDING FOR K-12 SCHOOL AND COMMUNITY COLLEGE FACILITIES. INITIATIVE STATUTORY AMENDMENT.
ocd-contest/2d4de540-adcb-4c2e-a58b-13f43f60fff1,1362198,71,PROPOSITION 052 - STATE FEES ON HOSPITALS. FEDERAL MEDI-CAL MATCHING FUNDS. INITIATIVE STATUTORY AND CONSTITUTIONAL AMENDMENT.
ocd-contest/687d67df-238e-4424-89d5-7445dcd43aee,1376142,72,PROPOSITION 053 - REVENUE BONDS. STATEWIDE VOTER APPROVAL. INITIATIVE CONSTITUTIONAL AMENDMENT.
ocd-contest/ea81f6ce-4b1c-42b9-9455-9edceafe9561,1381642,73,PROPOSITION 054 - LEGISLATURE. LEGISLATION AND PROCEEDINGS. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.
ocd-contest/5961b189-8414-45ba-9253-eac65069e5d7,1382647,74,PROPOSITION 055 - TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT.
ocd-contest/7ae8b4a5-2c36-413d-9ca5-72ce3f1e289d,1381640,75,"PROPOSITION 056 - CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND LAW ENFORCEMENT. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE."
ocd-contest/8c8a3fef-6fea-4031-910f-9fbd01ba1f4d,1383319,76,PROPOSITION 057 - CRIMINAL SENTENCES. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.
ocd-contest/3db22e03-360e-45b0-bc57-d8d798dfb510,1382395,77,"PROPOSITION 058 - SB 1174 (CHAPTER 753, STATUTES OF 2014), LARA. ENGLISH LANGUAGE EDUCATION"
ocd-contest/8a690633-cba0-4838-beae-8a27e058cc15,1386783,78,"PROPOSITION 059- SB 254 (CHAPTER 20, STATUTES OF 2016), ALLEN. CAMPAIGN FINANCE: VOTER INSTRUCTION"
ocd-contest/1df18bd0-02a0-4d5e-96bd-6c80ff64d6f9,1376195,79,PROPOSITION 060- ADULT FILMS. CONDOMS. HEALTH REQUIREMENTS. INITIATIVE STATUTE.
ocd-contest/5e7acbdb-1965-414e-b18a-7f348635344e,1377343,80,PROPOSITION 061- STATE PRESCRIPTION DRUG PURCHASES. PRICING STANDARDS. INITIATIVE STATUTE.
ocd-contest/c79212ca-2a51-459c-8ef1-2bc29c46bf39,1381268,81,PROPOSITION 062- DEATH PENALTY. INITIATIVE STATUTE.
ocd-contest/6516fe7d-c7fb-4315-8f1d-31027eff464f,1381803,82,PROPOSITION 063- FIREARMS. AMMUNITION SALES. INTIATIVE STATUTE.
ocd-contest/2a015401-92bc-47f6-bcf9-100ef333b05e,1381868,83,PROPOSITION 064- MARIJUANA LEGALIZATION. INITIATIVE STATUTE.
ocd-contest/9da3389c-cb25-4a94-a659-f1a09f3a9de6,1381520,84,PROPOSITION 065- CARRY-OUT BAGS. CHARGES. INITIATIVE STATUTE.
ocd-contest/60ef9a20-9963-45f1-a170-e9e5b35a3295,1381724,85,PROPOSITION 066- DEATH PENALTY. PROCEDURES. INITIATIVE STATUTE.
ocd-contest/50193a28-c6b0-4105-b1b6-a82ee0805402,1372638,86,PROPOSITION 067- REFERENDUM TO OVERTURN BAN ON SINGLE-USE PLASTIC BAGS.
