election_name,election_date,election_id,ocd_prop_id,calaccess_prop_id,ccdc_prop_id,prop_name
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/ae6d712e-8136-44be-848b-450ae39ccf7a,1007678,1,"PROP 12 - 2000 AB 18 (CHAPTER 461, 1999). VILLARAIGOSA. BOND: PARKS, WATER, COASTAL PROTECTION ACT."
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/81ab5b3d-4f0f-4c17-a3f8-154976b69c2c,1007679,2,"PROP 13 - 2000 AB 1584 (CHAPTER 725, 1999). MACHADO. SAFE DRINKING WATER, CLEAN WATER, WATERSHED PROTECTION, AND FLOOD PROTEC"
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/efd74f8d-f31c-442a-a943-24c58a0855c8,1007680,3,"PROP 14 - 2000 SB 3 (CHAPTER 726, 1999). RAINEY. CALIFORNIA READING AND LITERACY IMPROVEMENT AND PUBLIC LIBRARY CONSTRUCTION"
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/bd63d155-f275-438b-aef7-b8d85b713e92,1007681,4,"PROP 15 - 2000 AB 1391 (CHAPTER 727, 1999). HERTZBERG. FORENSIC LABORATORIES."
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/eb91a569-bacc-4a57-9739-4da0d2ec2e67,1007682,5,"PROP 16 - 2000 SB 630 (CHAPTER 728, 1999). DUNN. VETERANS' HOMES."
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/ce2eac86-6ffd-490d-abf0-afd00850d60f,1007683,6,"PROP 17 - 2000 SCA 4 (RESOLUTION CHAPTER 123, 1999). MC PHERSON. LOTTERIES: CHARITABLE RAFFLES."
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/3d1d23dc-5e7f-46b7-888b-d3ef8780934d,1007684,7,"PROP 18 - 2000 SB 1878 (CHAPTER 629, 19998). KOPP. MURDER:      SPECIAL CIRCUMSTANCES."
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/30f550f6-fc35-4996-b0b7-06aa490b209e,1007685,8,"PROP 19 - 2000 SB 1690 (CHAPTER 760, 1998). RAINEY. PEACE OFFICERS."
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/86e05d6f-3f36-44f1-a99a-319b9bde69fb,1007677,9,"PROP 1A - 2000.  SCA 11 (RESOLUTION CHAPTER 142, 1999). BURTON. GAMBLING."
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/657c873b-e883-4982-9e9c-61919cdf5b35,1007686,10,"PROP 20 - 2000 AB 1453 (CHAPTER 800, 1998). CARDENAS. CALIFORNIA STATE LOTTERY: CARDENAS TEXTBOOK ACT OF 2000."
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/4761e254-4c5e-4bab-96c5-ebbb5dc7ef16,1007515,11,PROP 21 - 2000 JUVENILE CRIME. INITIATIVE STATUTE.
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/721fc3d6-e83d-424d-a2c2-aca621481896,1007594,12,PROP 22 - 2000 DEFINITION OF MARRIAGE. INITIATIVE STATUTE.
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/2d1eb90f-d5ce-4f89-b4fb-ea93d21463c4,1007628,13,"PROP 23 - 2000 ""NONE OF THE ABOVE"" BALLOT OPTION. INITIATIVE STATUTE."
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/0ed781fa-c328-44b0-b3a7-d58f1887cf08,1007655,14,PROP 25 - 2000 ELECTION CAMPAIGNS. CONTRIBUTION AND SPENDING LIMITS. PUBLIC FINANCING. DISCLOSURES. INITIATIVE STATUTE.
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/f7ad0c61-f5ff-45d4-abd2-0f99b5754cd3,1007623,15,PROP 26 - 2000 SCHOOL FACILITIES. BONDS. LOCAL MAJORITY VOTE. INITIATIVE STATUTE.
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/4b2e0eb6-6d57-4d1d-985c-44d6f4818a77,1007446,16,PROP 27 - 2000 ELECTIONS. TERM LIMITS DECLARATIONS FOR CONGRESSIONAL CANDIDATES. INITIATIVE STATUTE.
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/52086b31-c98d-4cdc-97ad-d7bf1c2f8aef,1007626,17,PROP 28 - 2000 REPEAL OF ADDITIONAL TOBACCO SURTAX ENACTED BY PROPOSITION 10. INITIATIVE STATUTE.
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/7fdf54f3-3762-422b-8a8e-3b229b47d3cc,1007614,18,PROP 29 - 2000 REFERENDUM VOTE TO OVERTURN PREVIOUSLY APPROVED GAMING COMPACTS.
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/9c344b97-a90d-4fa1-8a0a-a1c34a3f353f,1007671,19,"PROP 30 - 2000 REFERENDUM PETITION TO OVERTURN ""THE FAIR INSURANCE RESPONSIBILITY ACT."""
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/3bc11809-a8ce-40d4-80db-1cd09e71e64c,1007676,20,"PROP 31 - 2000 REFERENDUM PETITION TO OVERTURN AMENDMENTS TO ""THE FAIR INSURANCE RESPONSIBILITY ACT."""
2000 GENERAL,2000-11-07 00:00:00+00:00,ocd-event/733b062d-75d2-4e23-8e17-838f808780be,ocd-contest/9b616ce2-12c5-403d-b0b5-21a1c674ed08,1225295,21,PROP 32 - VETERANS' BOND ACT OF 2000
