FILING_ID,AMEND_ID,LINE_ITEM,REC_TYPE,FORM_TYPE,TRAN_ID,AMOUNT,EXP_DATE,EXPN_DSCR,MEMO_CODE,MEMO_REFNO,DATE_THRU
1048489,0,2,S496,F496,EDT72,7200,10/18/2004 12:00:00 AM,Productions Costs,,,
1048489,0,3,S496,F496,EDT67,39302.68,10/18/2004 12:00:00 AM,Media Buys,,,
1048490,0,1,S496,F496,EDT70,750,10/18/2004 12:00:00 AM,Polling,,,
1048490,0,2,S496,F496,NON4011,9500,10/18/2004 12:00:00 AM,Polling,,,
1048490,0,3,S496,F496,EDT60,4000,10/18/2004 12:00:00 AM,Production Costs,,,
1048490,0,4,S496,F496,EDT63,57042,10/18/2004 12:00:00 AM,Media Buys,,,
1048656,0,1,S496,F496,189,40000,10/15/2004 12:00:00 AM,contribution,,,
1048720,0,1,S496,F496,EDT42,16505,10/18/2004 12:00:00 AM,Mailer,,,
1048767,0,1,S496,F496,D186,19980.12,10/12/2004 12:00:00 AM,WEB/ Prop 64 Statewide,,,
1048780,0,1,S496,F496,2004-0019,673.55,10/17/2004 12:00:00 AM,slate mailer,,,
1048781,0,1,S496,F496,2004-0020,522.20,10/17/2004 12:00:00 AM,slate mailer,,,
1048784,0,1,S496,F496,2004-0021,673.55,10/17/2004 12:00:00 AM,slate mailer,,,
1048785,0,1,S496,F496,2004-2334,1589.91,10/15/2004 12:00:00 AM,Mailer,,2004-2334 ,
1044122,2,1,S496,F496,2004-2003,103364.35,10/1/2004 12:00:00 AM,Voter Contact,,2004-2003 ,10/16/2004 12:00:00 AM
1048811,0,1,S496,F496,2004-2384,7300,10/16/2004 12:00:00 AM,"Design, Printing & Postage for Mailer",,2004-2384 ,
1048812,0,1,S496,F496,2004-2385,7300,10/16/2004 12:00:00 AM,"Design, Printing & Postage for Mailer",,2004-2385 ,
1048814,0,1,S496,F496,2004-2386,14920,10/15/2004 12:00:00 AM,"Design, Printing and Postage for Mailer",,2004-2386 ,
1048816,0,1,S496,F496,2004-2387,8540.50,10/13/2004 12:00:00 AM,"Design, Printing & Postage for Mailer",,2004-2387 ,
1048817,0,1,S496,F496,2004-2388,14920,10/12/2004 12:00:00 AM,"Design, Printing and Postage for Mailer",,2004-2388 ,
1048819,0,1,S496,F496,EDT6,37071.41,10/17/2004 12:00:00 AM,"Campaign Paraphernalia/Misc., Campaign Literature and Mailings",,,
1048820,0,1,S496,F496,EDT9,31668.08,10/17/2004 12:00:00 AM,"Campaign Paraphernalia/Misc., Campaign Literature and Mailings",,,
1048821,0,1,S496,F496,EDT10,40008.08,10/17/2004 12:00:00 AM,"Campaign Paraphernalia/Misc., Campaign Literature and Mailings",,,
1048822,0,1,S496,F496,EDT11,46220,10/17/2004 12:00:00 AM,Campaign Paraphernalia/Misc.,,,
1048823,0,1,S496,F496,EDT12,10720,10/17/2004 12:00:00 AM,Campaign Paraphernalia/Misc.,,,
1048824,0,1,S496,F496,EDT13,29875.93,10/17/2004 12:00:00 AM,Campaign Literature and Mailings,,,
1048825,0,1,S496,F496,EDT14,12150,10/17/2004 12:00:00 AM,Campaign Paraphernalia/Misc.,,,
1048827,0,1,S496,F496,EDT15,9720,10/17/2004 12:00:00 AM,Campaign Paraphernalia/Misc.,,,
1048828,0,1,S496,F496,EDT16,10920,10/17/2004 12:00:00 AM,Campaign Paraphernalia/Misc.,,,
1048838,0,1,S496,F496,EDT325,500,10/18/2004 12:00:00 AM,CONSULTING,,,
1048838,0,2,S496,F496,EDT322,9178,10/18/2004 12:00:00 AM,WEB BANNER AD,,,
1048838,0,3,S496,F496,PDT113,1000,10/18/2004 12:00:00 AM,CONSULTING,,,
1048893,0,1,S496,F496,F496-599,2800,10/18/2004 12:00:00 AM,Slate mailer,,,
1048893,0,2,S496,F496,F496-596,5444,10/18/2004 12:00:00 AM,Slate mailer,,,
1048894,0,1,S496,F496,F496-598,500,10/18/2004 12:00:00 AM,Slate mailer,,,
1048894,0,2,S496,F496,F496-600,3300,10/18/2004 12:00:00 AM,Slate mailer,,,
1048894,0,3,S496,F496,F496-597,7012,10/18/2004 12:00:00 AM,Slate mailer,,,
1048935,0,1,S496,F496,EDT139,53000,10/18/2004 12:00:00 AM,RADIO BUY,,,
1048943,0,1,S496,F496,EDT135,735.11,10/18/2004 12:00:00 AM,POSTCARDS,,,
1048943,0,2,S496,F496,EDT137,1738.01,10/18/2004 12:00:00 AM,POSTCARDS,,,
1048943,0,3,S496,F496,EDT132,12870.81,10/18/2004 12:00:00 AM,POSTCARDS,,,
1048943,0,4,S496,F496,EDT133,13864.30,10/18/2004 12:00:00 AM,POSTCARDS,,,
1048949,0,1,S496,F496,1344,200000,10/18/2004 12:00:00 AM,Lori Saldana for State Assembly,,,
1048951,0,1,S496,F496,EDT20,2500,10/19/2004 12:00:00 AM,Mailer,,,
1048952,0,1,S496,F496,EDT21,2500,10/19/2004 12:00:00 AM,Mailer,,,
1048953,0,1,S496,F496,EDT22,2500,10/19/2004 12:00:00 AM,Mailer,,,
1049013,0,1,S496,F496,1,2744.38,10/18/2004 12:00:00 AM,"Member Communication - Printing, mailing and artwork",,,
1049090,0,1,S496,F496,EDT138,785.23,10/18/2004 12:00:00 AM,TV COMMERCIAL,,,
1049090,0,2,S496,F496,EDT136,1253.13,10/18/2004 12:00:00 AM,POSTCARDS,,,
1049090,0,3,S496,F496,EDT134,1147.24,10/18/2004 12:00:00 AM,TV COMMERCIAL,,,
1049140,0,1,S496,F496,NON4159,4980,10/19/2004 12:00:00 AM,Polling,,,
1049141,0,1,S496,F496,NON4158,11620,10/19/2004 12:00:00 AM,Polling,,,
1049150,0,1,S496,F496,EDT45,16505,10/19/2004 12:00:00 AM,Mailer,,,
1049184,0,1,S496,F496,EDT119,1976.88,10/18/2004 12:00:00 AM,Mailing,,,
1049211,0,1,S496,F496,2004-2452,5287.64,10/18/2004 12:00:00 AM,Doorhanger & Flyer,,2004-2452 ,
1049400,0,1,S496,F496,F496-10,24999.68,10/19/2004 12:00:00 AM,"Production, postage, shipping of mailer",,,
1049401,0,1,S496,F496,F496-29,5419.86,10/19/2004 12:00:00 AM,Postage for Mailer,,,
1049402,0,1,S496,F496,F496-1,17138.94,10/18/2004 12:00:00 AM,Mailer,,,
1049461,0,1,S496,F496,2004-2462,3000,10/18/2004 12:00:00 AM,Slate Mailer,,,
1049462,0,1,S496,F496,PDT44,3534.23,10/18/2004 12:00:00 AM,Reimburse for AJepson  salary,,,
1049464,0,1,S496,F496,NON4160,30000,10/19/2004 12:00:00 AM,Get-Out-The-Vote,,,
1049471,0,1,S496,F496,2004-2460,3000,10/18/2004 12:00:00 AM,Slate Mailer,,,
1049475,0,1,S496,F496,2004-2459,3000,10/18/2004 12:00:00 AM,Slate Mailer,,,
1049476,0,1,S496,F496,2004-2461,3000,10/18/2004 12:00:00 AM,Slate Mailer,,,
1049477,0,1,S496,F496,2004-2487,5316,10/18/2004 12:00:00 AM,"Design, Printing & Postage for Mailer",,2004-2487 ,
1049478,0,1,S496,F496,2004-2488,15948,10/18/2004 12:00:00 AM,"Design, Printing & Postage for Mailer",,2004-2488 ,
1049529,0,1,S496,F496,78,3700,10/18/2004 12:00:00 AM,I.E. Mailer opposing candidate Mike Leonard,,,
1049534,0,1,S496,F496,2004-0060,90.06,10/18/2004 12:00:00 AM,slate mailer,,,
1049538,0,1,S496,F496,2004-0061,55.25,10/18/2004 12:00:00 AM,slate mailer,,,
1049541,0,1,S496,F496,2004-0062,116.52,10/18/2004 12:00:00 AM,slate mailer,,,
1049759,0,1,S496,F496,430,27600,10/15/2004 12:00:00 AM,Direct Candidate Support,,,
1049759,0,2,S496,F496,429,24500,10/14/2004 12:00:00 AM,Direct Candidate Support,,,
1049956,0,1,S496,F496,1,5657.99,10/19/2004 12:00:00 AM,Member Communication - Printing and Mailing Costs,,,
1049958,0,1,S496,F496,1,5657.99,10/19/2004 12:00:00 AM,Member Communication - Printing and Mailing,,,
1049960,0,1,S496,F496,1,5657.99,10/19/2004 12:00:00 AM,Member Communication- Printing and Mailing,,,
1049975,0,1,S496,F496,2004-2530,10000,10/20/2004 12:00:00 AM,"Design, Printing & Postage for Mailer",,2004-2530 ,
1049992,0,1,S496,F496,2004-2555,43006.26,10/19/2004 12:00:00 AM,Mailers,,2004-2555 ,
1050035,0,1,S496,F496,EDT16,27321.83,10/19/2004 12:00:00 AM,Mass mailings,,,
1050036,0,1,S496,F496,EDT17,27321.83,10/19/2004 12:00:00 AM,Mass mailings,,,
1050037,0,1,S496,F496,EDT119,35000,10/13/2004 12:00:00 AM,SLATE MAILER,,,
1050038,0,1,S496,F496,EDT18,27321.83,10/19/2004 12:00:00 AM,Mass mailings,,,
1050039,0,1,S496,F496,EDT20,12976.35,10/19/2004 12:00:00 AM,Mass mailings,,,
1050040,0,1,S496,F496,EDT120,45000,10/19/2004 12:00:00 AM,SLATE MAILER,,,
1050051,0,1,S496,F496,EDT19,27321.83,10/19/2004 12:00:00 AM,Mass mailings,,,
